R,G,B,Lat,Lon
0,0,0,1.159383303,103.7366668
0,0,0,1.163424757,103.7436668
0,0,0,1.167466211,103.7366668
0,0,0,1.171507664,103.7296668
0,0,0,1.171507664,103.7436668
0,0,0,1.175549118,103.7366668
0,0,0,1.179590572,103.7156668
0,0,0,1.179590572,103.7296668
0,0,0,1.183632026,103.7226668
0,0,0,1.187673479,103.7156668
0,0,0,1.187673479,103.7296668
0,0,0,1.187673479,103.7716668
0,0,0,1.191714933,103.7226668
0,0,0,1.191714933,103.7366668
0,0,0,1.191714933,103.7646668
0,0,0,1.191714933,103.7786668
0,0,0,1.195756387,103.7296668
0,0,0,1.195756387,103.7576668
0,0,0,1.195756387,103.7716668
0,0,0,1.199797841,103.7086668
0,0,0,1.199797841,103.7226668
0,0,0,1.199797841,103.7646668
0,0,0,1.199797841,103.7786668
0,0,0,1.199797841,103.7926668
127.0,137.0,137.0,1.203839294,103.7156668
0,0,0,1.203839294,103.7296668
0,0,0,1.203839294,103.7576668
0,0,0,1.203839294,103.7716668
0,0,0,1.203839294,103.7856668
0,0,0,1.203839294,103.7996668
0,0,0,1.207880748,103.6386667
0,0,0,1.207880748,103.7086668
127.0,137.0,137.0,1.207880748,103.7226668
0,0,0,1.207880748,103.7646668
0,0,0,1.207880748,103.7786668
0,0,0,1.207880748,103.7926668
0,0,0,1.211922202,103.6176667
0,0,0,1.211922202,103.6316667
0,0,0,1.211922202,103.6456667
127.0,137.0,137.0,1.211922202,103.7156668
0,0,0,1.211922202,103.7296668
0,0,0,1.211922202,103.7576668
0,0,0,1.211922202,103.7716668
0,0,0,1.211922202,103.7856668
0,0,0,1.215963656,103.6106667
0,0,0,1.215963656,103.6246667
0,0,0,1.215963656,103.6386667
0,0,0,1.215963656,103.7086668
0,0,0,1.215963656,103.7226668
0,0,0,1.215963656,103.8346668
0,0,0,1.215963656,103.8486668
0,0,0,1.22000511,103.6036667
0,0,0,1.22000511,103.6176667
0,0,0,1.22000511,103.6316667
0,0,0,1.22000511,103.6736667
0,0,0,1.22000511,103.7576668
0,0,0,1.22000511,103.8416668
0,0,0,1.22000511,103.8556668
0,0,0,1.224046563,103.6106667
0,0,0,1.224046563,103.6246667
0,0,0,1.224046563,103.6666667
0,0,0,1.224046563,103.6806667
0,0,0,1.224046563,103.7506668
0,0,0,1.224046563,103.7646668
0,0,0,1.224046563,103.7786668
0,0,0,1.224046563,103.8486668
0,0,0,1.224046563,103.8626668
0,0,0,1.228088017,103.6036667
0,0,0,1.228088017,103.6176667
0,0,0,1.228088017,103.6736667
0,0,0,1.228088017,103.7436668
0,0,0,1.228088017,103.7576668
0,0,0,1.228088017,103.7716668
0,0,0,1.228088017,103.8416668
0,0,0,1.228088017,103.8556668
0,0,0,1.232129471,103.6106667
0,0,0,1.232129471,103.6246667
0,0,0,1.232129471,103.6666667
0,0,0,1.232129471,103.6806667
0,0,0,1.232129471,103.7366668
0,0,0,1.232129471,103.7506668
0,0,0,1.232129471,103.7646668
0,0,0,1.232129471,103.7786668
0,0,0,1.232129471,103.8346668
0,0,0,1.232129471,103.8486668
0,0,0,1.232129471,103.8626668
0,0,0,1.236170925,103.6036667
0,0,0,1.236170925,103.6176667
0,0,0,1.236170925,103.6456667
0,0,0,1.236170925,103.6736667
0,0,0,1.236170925,103.6876668
0,0,0,1.236170925,103.7436668
0,0,0,1.236170925,103.7576668
0,0,0,1.236170925,103.7716668
0,0,0,1.236170925,103.8276668
0,0,0,1.236170925,103.8416668
0,0,0,1.236170925,103.8556668
0,0,0,1.240212378,103.6106667
0,0,0,1.240212378,103.6246667
0,0,0,1.240212378,103.6526667
0,0,0,1.240212378,103.6666667
0,0,0,1.240212378,103.6806667
0,0,0,1.240212378,103.6946668
0,0,0,1.240212378,103.7506668
0,0,0,1.240212378,103.7646668
0,0,0,1.240212378,103.8346668
0,0,0,1.240212378,103.8486668
0,0,0,1.244253832,103.6036667
0,0,0,1.244253832,103.6176667
0,0,0,1.244253832,103.6596667
127.4,134.2,137.6,1.244253832,103.6736667
0,0,0,1.244253832,103.6876668
0,0,0,1.244253832,103.8276668
0,0,0,1.244253832,103.8416668
0,0,0,1.244253832,103.8556668
0,0,0,1.248295286,103.6106667
