R,G,B,Lat,Lon,cluster
127,137,137,1.203839294,103.7156668,8
127,137,137,1.207880748,103.7226668,8
127,137,137,1.211922202,103.7156668,8
127,137,137,1.244253832,103.6736667,8
102,124,139,1.244253832,103.6736667,7
143,153,147,1.244253832,103.6736667,6
142,148,158,1.244253832,103.6736667,2
111,119,125,1.244253832,103.6736667,7
120,99,101,1.244253832,103.6736667,3
115,118,109,1.244253832,103.6736667,7
132,157,184,1.244253832,103.6736667,2
149,157,150,1.244253832,103.6736667,6
133,130,126,1.244253832,103.6736667,8
127,137,137,1.248295286,103.6806667,8
102,124,139,1.248295286,103.6806667,7
143,153,147,1.248295286,103.6806667,6
142,148,158,1.248295286,103.6806667,2
111,119,125,1.248295286,103.6806667,7
120,99,101,1.248295286,103.6806667,3
115,118,109,1.248295286,103.6806667,7
132,157,184,1.248295286,103.6806667,2
149,157,150,1.248295286,103.6806667,6
133,130,126,1.248295286,103.6806667,8
127,137,137,1.25233674,103.6736667,8
102,124,139,1.25233674,103.6736667,7
143,153,147,1.25233674,103.6736667,6
142,148,158,1.25233674,103.6736667,2
111,119,125,1.25233674,103.6736667,7
120,99,101,1.25233674,103.6736667,3
115,118,109,1.25233674,103.6736667,7
132,157,184,1.25233674,103.6736667,2
149,157,150,1.25233674,103.6736667,6
133,130,126,1.25233674,103.6736667,8
117,121,124,1.272544009,103.6806667,7
113,121,122,1.272544009,103.6806667,7
120,99,101,1.272544009,103.6806667,3
143,141,132,1.272544009,103.6806667,8
137,133,132,1.272544009,103.6806667,8
102,105,105,1.272544009,103.6806667,3
108,116,120,1.272544009,103.6806667,7
133,130,126,1.272544009,103.6806667,8
97,99,101,1.272544009,103.6806667,3
132,136,133,1.272544009,103.6806667,8
117,121,124,1.276585462,103.6736667,7
113,121,122,1.276585462,103.6736667,7
120,99,101,1.276585462,103.6736667,3
143,141,132,1.276585462,103.6736667,8
137,133,132,1.276585462,103.6736667,8
102,105,105,1.276585462,103.6736667,3
108,116,120,1.276585462,103.6736667,7
133,130,126,1.276585462,103.6736667,8
97,99,101,1.276585462,103.6736667,3
132,136,133,1.276585462,103.6736667,8
117,121,124,1.280626916,103.6806667,7
113,121,122,1.280626916,103.6806667,7
120,99,101,1.280626916,103.6806667,3
143,141,132,1.280626916,103.6806667,8
137,133,132,1.280626916,103.6806667,8
102,105,105,1.280626916,103.6806667,3
108,116,120,1.280626916,103.6806667,7
133,130,126,1.280626916,103.6806667,8
97,99,101,1.280626916,103.6806667,3
132,136,133,1.280626916,103.6806667,8
127,125,114,1.288709824,103.6246667,7
106,126,146,1.288709824,103.6246667,7
122,129,105,1.288709824,103.6246667,7
103,136,144,1.288709824,103.6246667,7
120,122,125,1.288709824,103.6246667,7
136,143,145,1.288709824,103.6246667,2
123,142,160,1.288709824,103.6246667,2
156,162,161,1.288709824,103.6246667,6
118,109,115,1.288709824,103.6246667,7
164,132,118,1.288709824,103.6246667,4
127,125,114,1.292751277,103.6316667,7
106,126,146,1.292751277,103.6316667,7
122,129,105,1.292751277,103.6316667,7
103,136,144,1.292751277,103.6316667,7
120,122,125,1.292751277,103.6316667,7
136,143,145,1.292751277,103.6316667,2
123,142,160,1.292751277,103.6316667,2
156,162,161,1.292751277,103.6316667,6
118,109,115,1.292751277,103.6316667,7
164,132,118,1.292751277,103.6316667,4
127,125,114,1.296792731,103.6246667,7
106,126,146,1.296792731,103.6246667,7
122,129,105,1.296792731,103.6246667,7
103,136,144,1.296792731,103.6246667,7
120,122,125,1.296792731,103.6246667,7
136,143,145,1.296792731,103.6246667,2
123,142,160,1.296792731,103.6246667,2
156,162,161,1.296792731,103.6246667,6
118,109,115,1.296792731,103.6246667,7
164,132,118,1.296792731,103.6246667,4
127,125,114,1.300834185,103.6316667,7
106,126,146,1.300834185,103.6316667,7
122,129,105,1.300834185,103.6316667,7
103,136,144,1.300834185,103.6316667,7
120,122,125,1.300834185,103.6316667,7
136,143,145,1.300834185,103.6316667,2
123,142,160,1.300834185,103.6316667,2
156,162,161,1.300834185,103.6316667,6
118,109,115,1.300834185,103.6316667,7
164,132,118,1.300834185,103.6316667,4
140,131,128,1.300834185,103.7296668,8
148,146,141,1.300834185,103.7296668,6
136,134,128,1.300834185,103.7296668,8
151,146,137,1.300834185,103.7296668,6
127,125,124,1.300834185,103.7296668,8
146,143,138,1.300834185,103.7296668,8
129,137,138,1.304875639,103.6246667,8
113,131,153,1.304875639,103.6246667,2
87,104,78,1.304875639,103.6246667,1
