cluster,Lat,Lon,hexColor
1,1.288709824,103.6246667,#767972
1,1.292751277,103.6316667,#767972
1,1.296792731,103.6246667,#767972
1,1.300834185,103.6316667,#767972
1,1.304875639,103.6246667,#767972
1,1.312958546,103.6946668,#767972
1,1.337207269,103.7226668,#767972
1,1.34933163,103.6876668,#767972
1,1.3526,103.8352,#767972
1,1.353373084,103.6806667,#767972
1,1.385704714,103.6946668,#767972
1,1.418036344,103.7226668,#767972
1,1.426119252,103.7226668,#767972
1,1.430160706,103.7156668,#767972
1,1.434202159,103.7226668,#767972
2,1.203839294,103.7156668,#8B8982
2,1.207880748,103.7226668,#8B8982
2,1.211922202,103.7156668,#8B8982
2,1.272544009,103.6806667,#8B8982
2,1.276585462,103.6736667,#8B8982
2,1.280626916,103.6806667,#8B8982
2,1.300834185,103.7296668,#8B8982
2,1.304875639,103.6386667,#8B8982
2,1.304875639,103.7226668,#8B8982
2,1.317,103.6736667,#8B8982
2,1.321041454,103.6806667,#8B8982
2,1.325082908,103.6736667,#8B8982
2,1.333165815,103.7296668,#8B8982
2,1.345290176,103.6946668,#8B8982
2,1.377621807,103.6946668,#8B8982
2,1.397829075,103.6596667,#8B8982
4,1.353373084,103.6946668,#768154
4,1.357414538,103.6876668,#768154
5,1.321041454,103.7086668,#5C5D4A
5,1.337207269,103.6946668,#5C5D4A
5,1.438243613,103.7016668,#5C5D4A
6,1.244253832,103.6736667,#969E9D
6,1.248295286,103.6806667,#969E9D
6,1.25233674,103.6736667,#969E9D
6,1.41399489,103.7156668,#969E9D
7,1.333165815,103.7016668,#696A61
7,1.337207269,103.7086668,#696A61
7,1.341248723,103.6876668,#696A61
7,1.345290176,103.6806667,#696A61
7,1.345290176,103.7086668,#696A61
7,1.34933163,103.7156668,#696A61
7,1.357414538,103.7156668,#696A61
8,1.312958546,103.7086668,#687E84
8,1.341248723,103.7016668,#687E84
8,1.345290176,103.7226668,#687E84
